Année,PIB,Consommation_Finale,Balance_Commerciale
1982,1267778670.359021,94.71084676444136,-464769001.641305
1983,1095348199.439112,100.4919203923596,-196320303.9044
1984,1051134008.789787,98.5722341544376,-102579966.183068
1985,1045712789.148835,104.0560057985063,-102167335.858185
1986,1336102025.277628,102.4751276231683,-141204638.725731
1987,1562412227.900577,102.756140215038,-145406600.950012
1988,1620246083.79478,102.6461223862876,-153359318.98824
1989,1502294416.171286,99.4923686808765,-81247729.4214813
1990,1959965330.14765,93.29721970448672,-90092810.6946715
1991,1986437796.530535,94.86170001772452,-343430086.16516
1992,1695315305.703079,96.6413409615645,-245575041.673662
1993,2274558082.761353,94.39489656763452,-196400598.194143
1994,1598075943.867737,89.94421378761352,-92834949.7100856
1995,2169627137.920696,87.64248786240417,-280430214.213829
1996,2361116449.393076,85.96900036542512,-94660482.747005
1997,2268301646.467069,85.81450398858213,-209202342.599654
1998,2455092686.347117,87.2525891112791,-207407122.539361
1999,3677393998.744859,90.14564383666956,-252271524.301984
2000,3519991440.479132,90.12912409807332,-179800852.890672
2001,3666222635.138748,90.76728372114157,-224504079.563759
2002,4194342686.217803,89.48149413112341,-289044784.417195
2003,5349258094.482386,89.16384396172688,-360314549.72843
2004,6190270380.498556,87.65727831599713,-345598627.142502
2005,6567654954.38903,90.04260559290597,-372865589.105196
2006,7034111314.888124,90.78537927234134,-445824226.265186
2007,8169048382.838754,88.65121586493238,-755034562.024593
2008,9787734526.239653,89.75349626259641,-772629973.0667851
2009,9738626517.003197,89.98098066336944,-791331499.717445
2010,9535345015.78355,89.67866885444234,-632495208.400363
2011,10693321363.65741,89.05515899208865,-643106427.1808729
2012,11141358115.89905,87.66695721966404,-710646157.284974
2013,12517845123.9315,85.19719142833898,-858674454.319657
2014,13284527846.90812,83.14900386517958,-1118728506.04463
2015,11388160996.77378,86.58354441397015,-756800485.387488
2016,11821065853.38379,83.50131259073578,-526019054.88671
2017,12701655836.9467,83.10498516583095,-703516906.141111
2018,14262408089.9261,80.86022022757646,-821046408.8926289
2019,14390708751.02496,78.79047734925994,-721667297.10396
2020,15686741883.93395,79.45444901341115,-435724020.28352
2021,17687623530.33553,77.36663016372802,-771728221.053792
2022,17425418044.29058,71.1013066225926,-1024472573.58803
2023,19673284686.00226,68.49249213000617,-387652765.987147
